pick_date,symbol,view,mom_pct,entry_date,entry_px,exit_date,exit_px,ret_pct,bench_pct,excess_pct,call_excess_pct,hit,settled,dropped
2026-08-07,NVDA,看好,25.9,,,,,,,,,,False,False
2026-08-07,AAPL,看好,13.2,,,,,,,,,,False,False
2026-08-07,TSLA,看淡,-21.3,,,,,,,,,,False,False
2026-08-07,META,看淡,-11.7,,,,,,,,,,False,False
2026-08-07,HOOD,看淡,12.5,,,,,,,,,,False,False
2026-08-07,BRK-B,看好,3.3,,,,,,,,,,False,False
2026-08-07,SNDK,看淡,110.4,,,,,,,,,,False,False
2026-08-10,AMZN,看好,31.7,,,,,,,,,,False,False
2026-08-10,KO,看好,11.1,,,,,,,,,,False,False
2026-08-10,BRK-B,看好,5.3,,,,,,,,,,False,False
2026-08-10,TSLA,看淡,-19.8,,,,,,,,,,False,False
2026-08-10,META,看淡,-9.3,,,,,,,,,,False,False
2026-08-10,HOOD,看淡,12.6,,,,,,,,,,False,False
2026-08-11,AMZN,看好,32.0,,,,,,,,,,False,False
2026-08-11,KO,看好,12.2,,,,,,,,,,False,False
2026-08-11,LLY,看好,17.1,,,,,,,,,,False,False
2026-08-11,TSLA,看淡,-19.7,,,,,,,,,,False,False
2026-08-11,META,看淡,-9.8,,,,,,,,,,False,False
2026-08-11,HOOD,看淡,9.2,,,,,,,,,,False,False
2026-08-12,AMZN,看好,30.7,,,,,,,,,,False,False
2026-08-12,KO,看好,13.9,,,,,,,,,,False,False
2026-08-12,AAPL,看好,10.8,,,,,,,,,,False,False
2026-08-12,TSLA,看淡,-22.9,,,,,,,,,,False,False
2026-08-12,HOOD,看淡,10.6,,,,,,,,,,False,False
2026-08-12,META,看淡,-12.3,,,,,,,,,,False,False
2026-08-12,LLY,看好,19.5,,,,,,,,,,False,False
2026-08-13,AMZN,看好,31.6,,,,,,,,,,False,False
2026-08-13,LLY,看好,20.5,,,,,,,,,,False,False
2026-08-13,KO,看好,12.6,,,,,,,,,,False,False
2026-08-13,TSLA,看淡,-22.3,,,,,,,,,,False,False
2026-08-13,META,看淡,-11.8,,,,,,,,,,False,False
2026-08-13,NFLX,看淡,-3.0,,,,,,,,,,False,False
2026-08-14,AAPL,看好,17.1,,,,,,,,,,False,False
2026-08-14,AMZN,看好,32.7,,,,,,,,,,False,False
2026-08-14,MSFT,看好,24.5,,,,,,,,,,False,False
2026-08-14,TSLA,看淡,-16.2,,,,,,,,,,False,False
2026-08-14,META,看淡,-7.8,,,,,,,,,,False,False
2026-08-14,TSM,看淡,16.8,,,,,,,,,,False,False
2026-08-14,NVDA,看好,20.6,,,,,,,,,,False,False
2026-08-17,AMZN,看好,31.5,,,,,,,,,,False,False
2026-08-17,AAPL,看好,19.7,,,,,,,,,,False,False
2026-08-17,NVDA,看好,23.2,,,,,,,,,,False,False
2026-08-17,TSLA,看淡,-18.7,,,,,,,,,,False,False
2026-08-17,META,看淡,-10.9,,,,,,,,,,False,False
2026-08-17,TSM,看淡,18.2,,,,,,,,,,False,False
